fold,test_start,strategy,total_return,max_drawdown,sharpe,sortino,profit_factor,n_trades
0,2023-01-22 12:15:00+00:00,buy_and_hold,0.0015128033262061802,-0.021293007382565232,0.21511131167489222,0.31281343596423167,inf,1
0,2023-01-22 12:15:00+00:00,random,-0.30074100405685356,-0.30102603196135236,-38.86293839933302,-48.06796011538678,0.15519836895879033,984
0,2023-01-22 12:15:00+00:00,ema_cross,-0.19986776409738471,-0.20119757251059212,-25.161091331953628,-31.518794463216842,0.1580569950324202,437
0,2023-01-22 12:15:00+00:00,rsi_reversion,-0.024709768486532724,-0.03284177016067946,-2.9483109931818676,-4.1160716625261715,0.3988622196418691,21
0,2023-01-22 12:15:00+00:00,vwap_reversion,-0.018662203105068942,-0.025248542617885783,-2.2711483902792122,-3.1830405513437965,0.5228151834860861,23
1,2023-03-15 14:15:00+00:00,buy_and_hold,0.01451863961155686,-0.009070771202834949,2.3494448742200977,3.3905868839074285,inf,1
1,2023-03-15 14:15:00+00:00,random,-0.30095724882028785,-0.30095724882028785,-50.14224530090757,-58.08282712726045,0.12535381135673876,984
1,2023-03-15 14:15:00+00:00,ema_cross,-0.150608917043889,-0.1514052032760118,-24.41897647654104,-31.54487026908999,0.20908402003404897,378
1,2023-03-15 14:15:00+00:00,rsi_reversion,-0.006451109963093282,-0.01607323409410244,-1.0431793371846199,-1.401175536430719,0.7895416599300092,39
1,2023-03-15 14:15:00+00:00,vwap_reversion,-0.01891147985228414,-0.025234619519732715,-3.1376164913865665,-4.287856521774431,0.37846630411438376,19
2,2023-05-06 16:15:00+00:00,buy_and_hold,-0.014663796213455593,-0.019365740133674092,-2.4724815526768973,-3.44434601359443,0.0,1
2,2023-05-06 16:15:00+00:00,random,-0.3149931533235847,-0.3149931533235847,-51.7855629185975,-57.82511506082728,0.07857608200781867,984
2,2023-05-06 16:15:00+00:00,ema_cross,-0.2406009358756538,-0.2414659957439217,-39.71855151512226,-46.57324138223231,0.0690308359531348,468
2,2023-05-06 16:15:00+00:00,rsi_reversion,0.013145443228096632,-0.012149118009958104,2.1759374254681667,3.147024205919613,1.8007817329010298,28
2,2023-05-06 16:15:00+00:00,vwap_reversion,0.00280463181719659,-0.008799949099798754,0.4838690052879568,0.6804652317037132,1.186433272598093,25
3,2023-06-27 18:15:00+00:00,buy_and_hold,-0.0041102985358340005,-0.012217160921173531,-0.7692610117725039,-1.090743034886559,0.0,1
3,2023-06-27 18:15:00+00:00,random,-0.316010495342949,-0.316010495342949,-58.26695151549858,-63.509656104892514,0.04759086396390159,984
